,genres,id
173,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",664767
174,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",626332
175,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",406997
176,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",19
177,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",508442
178,"[{'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}]",92060
179,"[{'id': 27, 'name': 'Horror'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",297610
180,"[{'id': 35, 'name': 'Comedy'}]",20914
181,"[{'id': 18, 'name': 'Drama'}]",489
182,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1010581
183,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",532067
184,"[{'id': 18, 'name': 'Drama'}]",666
185,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",348
186,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",439
187,"[{'id': 18, 'name': 'Drama'}]",81481
188,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",55823
189,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",20941
190,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",996
191,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",600
192,"[{'id': 18, 'name': 'Drama'}]",458220
193,"[{'id': 18, 'name': 'Drama'}]",614
194,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",640344
195,"[{'id': 18, 'name': 'Drama'}]",705
196,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",500
197,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",678512
198,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",935
199,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",37165
200,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11878
201,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",100
202,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",548
203,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",411088
204,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9702
205,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",843
206,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",239
207,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",24382
208,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12445
209,"[{'id': 35, 'name': 'Comedy'}]",38288
210,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",895
211,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",149871
212,"[{'id': 18, 'name': 'Drama'}]",103663
213,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 9648, 'name': 'Mystery'}]",46738
214,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",280
215,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]",472454
216,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",38
217,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",397567
218,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}]",21634
219,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",992
220,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",832
